"key","context","english","indonesian","malay","status"
"coach.insights","","Coaching Insights","Wawasan Pelatihan","Pandangan Bimbingan","draft"
"coach.strong_moves","","Strong moves","Langkah kuat","Langkah kuat","draft"
"coach.missed_chances","","Missed chances","Peluang terlewat","Peluang terlepas","draft"
"coach.focus_area","","Focus area","Area fokus","Bidang tumpuan","draft"
"store.title","","Cosmetics Store","Toko Kosmetik","Kedai Kosmetik","draft"
"store.coins","","Ethan Coins","Koin Ethan","Syiling Ethan","draft"
"store.description","","Spend your coins on board themes, piece sets, victory effects, and flair.","Gunakan koin untuk tema papan, set buah catur, efek kemenangan, dan hiasan.","Gunakan syiling untuk tema papan, set buah catur, kesan kemenangan dan hiasan.","draft"
"store.balance","","Balance:","Saldo:","Baki:","draft"
"invite.challenge","","A friend challenged you to chess!","Seorang teman menantangmu bermain catur!","Seorang rakan mencabar anda bermain catur!","draft"
"invite.create_to_accept","","Create a free account to accept the challenge and start playing.","Buat akun gratis untuk menerima tantangan dan mulai bermain.","Cipta akaun percuma untuk menerima cabaran dan mula bermain.","draft"
"auth.welcome_back","","Welcome Back","Selamat Datang Kembali","Selamat Kembali","draft"
"auth.signin_title","","Sign in to Ethan's Chess","Masuk ke Catur Ethan","Log masuk ke Catur Ethan","draft"
"auth.identifier","","Username or email","Nama pengguna atau email","Nama pengguna atau e-mel","draft"
"auth.password","","Password","Kata sandi","Kata laluan","draft"
"auth.show","","Show","Tampilkan","Tunjukkan","draft"
"auth.forgot","","Forgot Password?","Lupa Kata Sandi?","Lupa Kata Laluan?","draft"
"auth.recovery","","Account Recovery","Pemulihan Akun","Pemulihan Akaun","draft"
"auth.reset_title","","Reset your password","Atur ulang kata sandi","Tetapkan semula kata laluan","draft"
"auth.email","","Email address","Alamat email","Alamat e-mel","draft"
"auth.send_reset","","Send Reset Code","Kirim Kode Atur Ulang","Hantar Kod Tetapan Semula","draft"
"auth.verification_code","","Verification code","Kode verifikasi","Kod pengesahan","draft"
"auth.new_password","","New password","Kata sandi baru","Kata laluan baharu","draft"
"auth.set_password","","Set New Password","Tetapkan Kata Sandi Baru","Tetapkan Kata Laluan Baharu","draft"
"auth.join","","Join Ethan's Chess","Bergabung dengan Catur Ethan","Sertai Catur Ethan","draft"
"auth.create_title","","Create your chess account","Buat akun caturmu","Cipta akaun catur anda","draft"
"auth.birth_year","","Year you were born","Tahun lahirmu","Tahun kelahiran anda","draft"
"auth.display_name","","Display name","Nama tampilan","Nama paparan","draft"
"auth.password_advice","","Use a password you don't use elsewhere.","Gunakan kata sandi yang tidak kamu pakai di tempat lain.","Gunakan kata laluan yang tidak anda gunakan di tempat lain.","draft"
"legal.before_match","","Before your first match","Sebelum pertandingan pertamamu","Sebelum perlawanan pertama anda","draft"
"legal.review_required","","Review required documents","Tinjau dokumen wajib","Semak dokumen yang diperlukan","draft"
"legal.review_documents","","Review your documents","Tinjau dokumenmu","Semak dokumen anda","draft"
"legal.review","","Review","Tinjau","Semak","draft"
"legal.sign_out","","Sign Out","Keluar","Log Keluar","draft"
"legal.required_document","","Required document","Dokumen wajib","Dokumen diperlukan","draft"
"legal.document","","Legal document","Dokumen hukum","Dokumen undang-undang","draft"
"legal.loading","","Loading document...","Memuat dokumen...","Memuatkan dokumen...","draft"
"legal.unavailable","","Document unavailable","Dokumen tidak tersedia","Dokumen tidak tersedia","draft"
"legal.read_end","","Read to the end to finish reviewing.","Baca sampai akhir untuk menyelesaikan peninjauan.","Baca hingga akhir untuk menyelesaikan semakan.","draft"
"legal.finished","","Finished reviewing","Selesai meninjau","Selesai menyemak","draft"
"setup.title","","Game setup","Pengaturan permainan","Persediaan permainan","draft"
"setup.one_of_three","","1 of 3","1 dari 3","1 daripada 3","draft"
"setup.two_of_three","","2 of 3","2 dari 3","2 daripada 3","draft"
"setup.three_of_three","","3 of 3","3 dari 3","3 daripada 3","draft"
"setup.choose_color","","Choose Your Color","Pilih Warnamu","Pilih Warna Anda","draft"
"setup.choose_piece_color","","Choose Your Piece Color","Pilih Warna Buah Caturmu","Pilih Warna Buah Catur Anda","draft"
"setup.choose_difficulty","","Choose Difficulty","Pilih Tingkat Kesulitan","Pilih Kesukaran","draft"
"setup.easy","","Easy","Mudah","Mudah","draft"
"setup.beginner","","For beginners","Untuk pemula","Untuk pemula","draft"
"setup.medium","","Medium","Sedang","Sederhana","draft"
"setup.challenge","","A real challenge","Tantangan sungguhan","Cabaran sebenar","draft"
"setup.hard","","Hard","Sulit","Sukar","draft"
"setup.expert","","Expert level","Tingkat ahli","Tahap pakar","draft"
"game.even","","Even","Seimbang","Seimbang","draft"
"game.white_turn","","White's turn","Giliran Putih","Giliran Putih","draft"
"game.tip","","Tip:","Kiat:","Petua:","draft"
"game.moves","","Moves","Langkah","Langkah","draft"
"game.chat","","Chat","Obrolan","Sembang","draft"
"game.more","","More","Lainnya","Lagi","draft"
"game.flip","","↻ Flip","↻ Balik","↻ Terbalikkan","draft"
"game.match_chat","","Match Chat","Obrolan Pertandingan","Sembang Perlawanan","draft"
"game.connecting","","Connecting…","Menghubungkan…","Menyambung…","draft"
"game.message_opponent","","Message your opponent","Kirim pesan kepada lawan","Mesej lawan anda","draft"
"game.chat_friends","","Chat is for friends","Obrolan hanya untuk teman","Sembang adalah untuk rakan","draft"
"game.add_opponent","","Add opponent","Tambah lawan","Tambah lawan","draft"
"game.hint","","Get Hint","Dapatkan Petunjuk","Dapatkan Petunjuk","draft"
"game.coach_off","","🧑‍🏫 Coach Mode: Off","🧑‍🏫 Mode Pelatih: Nonaktif","🧑‍🏫 Mod Jurulatih: Mati","draft"
"game.video_chat","","Video Chat","Obrolan Video","Sembang Video","draft"
"game.safety","","Safety","Keamanan","Keselamatan","draft"
"game.new_game","","New Game","Permainan Baru","Permainan Baharu","draft"
"game.resign","","Resign","Menyerah","Mengaku kalah","draft"
"game.leave","","Leave game","Keluar dari permainan","Tinggalkan permainan","draft"
"game.waiting","","Waiting for opponent…","Menunggu lawan…","Menunggu lawan…","draft"
"game.wait_time","","Time waiting","Waktu tunggu","Masa menunggu","draft"
"game.share_link","","Share this link with your friend:","Bagikan tautan ini kepada temanmu:","Kongsi pautan ini dengan rakan anda:","draft"
"game.copy","","Copy","Salin","Salin","draft"
"game.share","","📤 Share…","📤 Bagikan…","📤 Kongsi…","draft"
"game.send_contact","","👤 Send to Contact","👤 Kirim ke Kontak","👤 Hantar kepada Kenalan","draft"
"spectator.stop","","← Stop Watching","← Berhenti Menonton","← Berhenti Menonton","draft"
"spectator.flip","","Flip board","Balik papan","Terbalikkan papan","draft"
"spectator.loading","","Loading match…","Memuat pertandingan…","Memuatkan perlawanan…","draft"
"review.quick","","Quick Review","Tinjauan Singkat","Semakan Pantas","draft"
"review.prev_lesson","","Prev lesson","Pelajaran sebelumnya","Pelajaran sebelumnya","draft"
"review.next_lesson","","Next lesson","Pelajaran berikutnya","Pelajaran seterusnya","draft"
"review.try_here","","Try from here","Coba dari sini","Cuba dari sini","draft"
"review.takeaway","","One thing to remember","Satu hal yang perlu diingat","Satu perkara untuk diingati","draft"
"review.finish","","Finish review","Selesaikan tinjauan","Selesaikan semakan","draft"
"game.promote","","Promote Pawn","Promosikan Pion","Naikkan Pangkat Bidak","draft"
"game.game_over","","Game Over","Permainan Selesai","Permainan Tamat","draft"
"game.play_again","","Play Again","Main Lagi","Main Lagi","draft"
"game.main_menu","","Main Menu","Menu Utama","Menu Utama","draft"
"game.rematch","","Rematch","Tanding Ulang","Perlawanan Semula","draft"
"game.high_five","","🙌 High Five","🙌 Tos","🙌 Tepuk Lima","draft"
"game.unfinished","","Unfinished Game","Permainan Belum Selesai","Permainan Belum Selesai","draft"
"game.resume","","Resume Game","Lanjutkan Permainan","Sambung Permainan","draft"
"game.discard","","Discard","Buang","Buang","draft"
"safety.match","","Match Safety","Keamanan Pertandingan","Keselamatan Perlawanan","draft"
"safety.report","","Report Player","Laporkan Pemain","Laporkan Pemain","draft"
"safety.block","","Block Player","Blokir Pemain","Sekat Pemain","draft"
"safety.reason","","Reason","Alasan","Sebab","draft"
"safety.loading_reasons","","Loading reasons…","Memuat alasan…","Memuatkan sebab…","draft"
"safety.details","","Additional details (optional)","Detail tambahan (opsional)","Butiran tambahan (pilihan)","draft"
"safety.submit","","Submit Report","Kirim Laporan","Hantar Laporan","draft"
"queue.title","","You're in line","Kamu sedang mengantre","Anda sedang beratur","draft"
"queue.ahead","","Ahead of you","Di depanmu","Di hadapan anda","draft"
"queue.wait","","Est. wait","Perkiraan tunggu","Anggaran menunggu","draft"
"queue.leave","","Leave queue","Keluar dari antrean","Tinggalkan barisan","draft"
"video.calling","","Calling…","Memanggil…","Memanggil…","draft"
"video.microphone","","Microphone","Mikrofon","Mikrofon","draft"
"video.camera","","Camera","Kamera","Kamera","draft"
"video.end","","End call","Akhiri panggilan","Tamatkan panggilan","draft"
"privacy.button","","Privacy & Support","Privasi & Dukungan","Privasi & Sokongan","draft"
"privacy.analytics","","Optional game analytics","Analitik permainan opsional","Analitik permainan pilihan","draft"
"privacy.allow","","Allow analytics","Izinkan analitik","Benarkan analitik","draft"
"privacy.no_thanks","","No thanks","Tidak, terima kasih","Tidak, terima kasih","draft"
"privacy.policy","","Privacy policy","Kebijakan privasi","Dasar privasi","draft"
"privacy.choice","","Your information, your choice","Informasimu, pilihanmu","Maklumat anda, pilihan anda","draft"
"privacy.contact","","Contact support","Hubungi dukungan","Hubungi sokongan","draft"
"privacy.policy_title","","Privacy Policy","Kebijakan Privasi","Dasar Privasi","draft"
"privacy.terms","","Terms of Use","Ketentuan Penggunaan","Terma Penggunaan","draft"
"privacy.community","","Community Standards","Standar Komunitas","Piawaian Komuniti","draft"
"privacy.agreement_history","","AGS agreement history","Riwayat persetujuan AGS","Sejarah persetujuan AGS","draft"
"privacy.save_choice","","Save Choice","Simpan Pilihan","Simpan Pilihan","draft"
"toast.invite_join","","Someone signed up via your invite!","Seseorang mendaftar melalui undanganmu!","Seseorang mendaftar melalui jemputan anda!","draft"
"toast.club","","Welcome to Club!","Selamat datang di Klub!","Selamat datang ke Kelab!","draft"
"a11y.edit_name","","Edit display name","Edit nama tampilan","Edit nama paparan","draft"
"a11y.chess_board","","Chess board","Papan catur","Papan catur","draft"
"a11y.spectator_board","","Spectator chess board","Papan catur penonton","Papan catur penonton","draft"
"a11y.flip_board","","Flip board","Balik papan","Terbalikkan papan","draft"
"a11y.dismiss","","Dismiss","Tutup","Tutup","draft"
"a11y.show_password","","Show password","Tampilkan kata sandi","Tunjukkan kata laluan","draft"
"placeholder.new_name","","New display name","Nama tampilan baru","Nama paparan baharu","draft"
"placeholder.password","","Your password","Kata sandimu","Kata laluan anda","draft"
"placeholder.code","","Enter the code","Masukkan kode","Masukkan kod","draft"
"placeholder.new_password","","Choose a new password","Pilih kata sandi baru","Pilih kata laluan baharu","draft"
"placeholder.display_name","","What friends will see","Nama yang akan dilihat teman","Nama yang akan dilihat rakan","draft"
"placeholder.secure_password","","Choose a secure password","Pilih kata sandi yang aman","Pilih kata laluan yang selamat","draft"
"placeholder.phone_email","","Phone number or email","Nomor telepon atau email","Nombor telefon atau e-mel","draft"
"placeholder.takeaway","","One thing to remember (optional)","Satu hal yang perlu diingat (opsional)","Satu perkara untuk diingati (pilihan)","draft"
"dynamic.loading_achievements","","Loading achievements…","Memuat pencapaian…","Memuatkan pencapaian…","draft"
"dynamic.loading_store","","Could not load the store.","Toko tidak dapat dimuat.","Kedai tidak dapat dimuatkan.","draft"
"dynamic.try_moment","","Try again in a moment.","Coba lagi sebentar lagi.","Cuba lagi sebentar lagi.","draft"
"dynamic.buying","","Buying…","Membeli…","Membeli…","draft"
"guest.online_divider","","or play online without an account","atau main daring tanpa akun","atau main dalam talian tanpa akaun","draft"
"guest.online","","Play Online as Guest","Main Daring sebagai Tamu","Main Dalam Talian sebagai Tetamu","draft"
"guest.device_note","","Your guest identity stays on this browser and device. Clearing site data creates a new guest.","Identitas tamumu tersimpan di browser dan perangkat ini. Menghapus data situs akan membuat identitas tamu baru.","Identiti tetamu anda kekal pada pelayar dan peranti ini. Mengosongkan data laman akan mencipta tetamu baharu.","draft"
"guest.offline_divider","","or play offline","atau main luring","atau main di luar talian","draft"
"family.consent","","I am this child's parent or guardian and I consent to this account. Their play is protected: no analytics, chat with family only, and I can delete the account any time.","Saya adalah orang tua atau wali anak ini dan menyetujui akun ini. Permainan mereka dilindungi: tanpa analitik, obrolan hanya dengan keluarga, dan saya dapat menghapus akun kapan saja.","Saya ialah ibu bapa atau penjaga kanak-kanak ini dan saya bersetuju dengan akaun ini. Permainan mereka dilindungi: tiada analitik, sembang dengan keluarga sahaja dan saya boleh memadamkan akaun pada bila-bila masa.","draft"
"home.stats_journal","","Stats & Journal","Statistik & Jurnal","Statistik & Jurnal","draft"
"club.brand","","Ethan's Chess Club ♛","Klub Catur Ethan ♛","Kelab Catur Ethan ♛","draft"
"store.button","","🛍️ Coin Store","🛍️ Toko Koin","🛍️ Kedai Syiling","draft"
"leaderboard.signin","","Sign in to appear on the leaderboard →","Masuk agar muncul di papan peringkat →","Log masuk untuk muncul pada papan pendahulu →","draft"
"auth.sign_in_title_case","","Sign In","Masuk","Log Masuk","draft"
"profile.signin_copy","","See verified stats, leaderboard rank, match history, and friend options.","Lihat statistik terverifikasi, peringkat, riwayat pertandingan, dan opsi pertemanan.","Lihat statistik yang disahkan, kedudukan, sejarah perlawanan dan pilihan rakan.","draft"
"profile.snapshot_copy","","Rating, record, and community recognition in one clear view.","Rating, catatan, dan pengakuan komunitas dalam satu tampilan yang jelas.","Penarafan, rekod dan pengiktirafan komuniti dalam satu paparan yang jelas.","draft"
"profile.rating_help","","Starts at 1200. Results are weighted by the rating gap between opponents.","Dimulai dari 1200. Hasil dibobot berdasarkan selisih rating antarlawan.","Bermula pada 1200. Keputusan diberi pemberat berdasarkan jurang penarafan antara lawan.","draft"
"profile.current_strength","","Current playing strength","Kekuatan bermain saat ini","Kekuatan permainan semasa","draft"
"profile.alltime_position","","All-time position","Posisi sepanjang waktu","Kedudukan sepanjang masa","draft"
"profile.high_five_help","","High Fives received from opponents after a match.","Tos yang diterima dari lawan setelah pertandingan.","Tepuk Lima yang diterima daripada lawan selepas perlawanan.","draft"
"profile.received","","Received from opponents","Diterima dari lawan","Diterima daripada lawan","draft"
"profile.game_one_help","","Complete a game to unlock color, opponent, and advanced performance breakdowns.","Selesaikan satu permainan untuk membuka rincian warna, lawan, dan performa lanjutan.","Selesaikan satu permainan untuk membuka pecahan warna, lawan dan prestasi lanjutan.","draft"
"profile.account_safety_amp","","Account & Safety","Akun & Keamanan","Akaun & Keselamatan","draft"
"profile.blocked","","blocked","diblokir","disekat","draft"
"profile.manage_safety","","Manage players you blocked or permanently delete your account.","Kelola pemain yang kamu blokir atau hapus akun secara permanen.","Urus pemain yang anda sekat atau padamkan akaun anda secara kekal.","draft"
"profile.delete_lower","","Delete account","Hapus akun","Padam akaun","draft"
"profile.delete_help","","Request permanent deletion of your account and game data.","Minta penghapusan permanen akun dan data permainanmu.","Minta pemadaman kekal akaun dan data permainan anda.","draft"
"profile.deletion_help","","Your account is scheduled for deletion.","Akunmu dijadwalkan untuk dihapus.","Akaun anda dijadualkan untuk dipadamkan.","draft"
"history.signin","","Sign in to view match history","Masuk untuk melihat riwayat pertandingan","Log masuk untuk melihat sejarah perlawanan","draft"
"history.signin_help","","Completed games and replays will appear here after you sign in.","Permainan selesai dan tayangan ulang akan muncul di sini setelah kamu masuk.","Permainan selesai dan ulang tayang akan muncul di sini selepas anda log masuk.","draft"
"journal.description","","Look back at your games, celebrate your best moves, learn from the rough ones — and turn mistakes into practice. Your reflections are private.","Tinjau kembali permainanmu, rayakan langkah terbaik, pelajari langkah yang kurang baik — dan ubah kesalahan menjadi latihan. Refleksimu bersifat pribadi.","Lihat semula permainan anda, raikan langkah terbaik, pelajari langkah yang sukar — dan jadikan kesilapan sebagai latihan. Refleksi anda adalah peribadi.","draft"
"gus.resident_bot","","Resident Bot","Bot Tetap","Bot Tetap","draft"
"gus.name","","Gambit Gus","Gambit Gus","Gambit Gus","draft"
"gus.play","","♞ Play Gus Now","♞ Lawan Gus Sekarang","♞ Main dengan Gus Sekarang","draft"
"gus.closed","","Gus’s table is closed right now — check back soon.","Meja Gus sedang tutup — periksa lagi sebentar lagi.","Meja Gus sedang ditutup — sila semak semula tidak lama lagi.","draft"
"gus.training","","Training","Latihan","Latihan","draft"
"gus.matches","","Matches","Pertandingan","Perlawanan","draft"
"gus.how_plays","","How Gus plays","Cara Gus bermain","Cara Gus bermain","draft"
"gus.record","","Record","Catatan","Rekod","draft"
"gus.win_rate","","Win rate","Tingkat kemenangan","Kadar kemenangan","draft"
"gus.strength","","Strength","Kekuatan","Kekuatan","draft"
"gus.form","","Form","Performa","Prestasi","draft"
"gus.brain","","Brain","Otak","Otak","draft"
"gus.knows","","What Gus knows about you","Apa yang Gus ketahui tentangmu","Perkara yang Gus tahu tentang anda","draft"
